config_id,phase,mode,seed,source,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_mixed_17,O-FAPI3,mixed,4025761315,O-FAPI3/CONTCAR,48,0.036529748246932725,4,0.907750939988639,O-FAPI3/O-FAPI3_mixed_17
t-FAPI3_small_rotation_01,t-FAPI3,small_rotation,3862067677,t-FAPI3/CONTCAR,24,,2,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_01
t-FAPI3_small_rotation_02,t-FAPI3,small_rotation,1062581836,t-FAPI3/CONTCAR,24,,2,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_02
t-FAPI3_small_rotation_03,t-FAPI3,small_rotation,3138974028,t-FAPI3/CONTCAR,24,,1,1.0184004805038966,t-FAPI3/t-FAPI3_small_rotation_03
t-FAPI3_small_rotation_04,t-FAPI3,small_rotation,827087127,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_small_rotation_04
t-FAPI3_small_rotation_05,t-FAPI3,small_rotation,3711218338,t-FAPI3/CONTCAR,24,,2,1.0184004805038975,t-FAPI3/t-FAPI3_small_rotation_05
t-FAPI3_small_rotation_06,t-FAPI3,small_rotation,1368476405,t-FAPI3/CONTCAR,24,,2,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_06
t-FAPI3_small_rotation_07,t-FAPI3,small_rotation,1765817918,t-FAPI3/CONTCAR,24,,2,1.018400480503897,t-FAPI3/t-FAPI3_small_rotation_07
t-FAPI3_small_rotation_08,t-FAPI3,small_rotation,3491413932,t-FAPI3/CONTCAR,24,,1,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_08
t-FAPI3_small_rotation_09,t-FAPI3,small_rotation,2344549124,t-FAPI3/CONTCAR,24,,1,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_09
t-FAPI3_small_rotation_10,t-FAPI3,small_rotation,2111823114,t-FAPI3/CONTCAR,24,,1,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_10
t-FAPI3_small_rotation_11,t-FAPI3,small_rotation,2304314566,t-FAPI3/CONTCAR,24,,2,1.0184004805038973,t-FAPI3/t-FAPI3_small_rotation_11
t-FAPI3_small_rotation_12,t-FAPI3,small_rotation,935183908,t-FAPI3/CONTCAR,24,,2,1.0184004805038978,t-FAPI3/t-FAPI3_small_rotation_12
t-FAPI3_small_rotation_13,t-FAPI3,small_rotation,1940470219,t-FAPI3/CONTCAR,24,,2,1.0184004805038966,t-FAPI3/t-FAPI3_small_rotation_13
t-FAPI3_small_rotation_14,t-FAPI3,small_rotation,1662250830,t-FAPI3/CONTCAR,24,,1,1.018400480503898,t-FAPI3/t-FAPI3_small_rotation_14
t-FAPI3_small_rotation_15,t-FAPI3,small_rotation,3391165254,t-FAPI3/CONTCAR,24,,2,1.0184004805038975,t-FAPI3/t-FAPI3_small_rotation_15
t-FAPI3_small_rotation_16,t-FAPI3,small_rotation,1357441694,t-FAPI3/CONTCAR,24,,1,1.018400480503898,t-FAPI3/t-FAPI3_small_rotation_16
t-FAPI3_small_rotation_17,t-FAPI3,small_rotation,3545876699,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_small_rotation_17
t-FAPI3_small_rotation_18,t-FAPI3,small_rotation,2721125248,t-FAPI3/CONTCAR,24,,1,1.0184004805038986,t-FAPI3/t-FAPI3_small_rotation_18
t-FAPI3_wide_rotation_01,t-FAPI3,wide_rotation,1049785491,t-FAPI3/CONTCAR,24,,2,1.0184004805038964,t-FAPI3/t-FAPI3_wide_rotation_01
t-FAPI3_wide_rotation_02,t-FAPI3,wide_rotation,3291088126,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_02
t-FAPI3_wide_rotation_03,t-FAPI3,wide_rotation,1698154985,t-FAPI3/CONTCAR,24,,2,1.018400480503897,t-FAPI3/t-FAPI3_wide_rotation_03
t-FAPI3_wide_rotation_04,t-FAPI3,wide_rotation,3800937670,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_04
t-FAPI3_wide_rotation_05,t-FAPI3,wide_rotation,764672315,t-FAPI3/CONTCAR,24,,2,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_05
t-FAPI3_wide_rotation_06,t-FAPI3,wide_rotation,85244482,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_06
t-FAPI3_wide_rotation_07,t-FAPI3,wide_rotation,1427811773,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_07
t-FAPI3_wide_rotation_08,t-FAPI3,wide_rotation,4081527428,t-FAPI3/CONTCAR,24,,2,1.0184004805038969,t-FAPI3/t-FAPI3_wide_rotation_08
t-FAPI3_wide_rotation_09,t-FAPI3,wide_rotation,2536593249,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_09
t-FAPI3_wide_rotation_10,t-FAPI3,wide_rotation,3331515967,t-FAPI3/CONTCAR,24,,2,1.018400480503898,t-FAPI3/t-FAPI3_wide_rotation_10
t-FAPI3_wide_rotation_11,t-FAPI3,wide_rotation,1582459888,t-FAPI3/CONTCAR,24,,2,1.0184004805038993,t-FAPI3/t-FAPI3_wide_rotation_11
t-FAPI3_wide_rotation_12,t-FAPI3,wide_rotation,2239997256,t-FAPI3/CONTCAR,24,,1,1.0184004805038975,t-FAPI3/t-FAPI3_wide_rotation_12
t-FAPI3_wide_rotation_13,t-FAPI3,wide_rotation,712131915,t-FAPI3/CONTCAR,24,,1,1.018400480503898,t-FAPI3/t-FAPI3_wide_rotation_13
t-FAPI3_wide_rotation_14,t-FAPI3,wide_rotation,1427105273,t-FAPI3/CONTCAR,24,,1,1.0184004805038989,t-FAPI3/t-FAPI3_wide_rotation_14
t-FAPI3_cage_rattle_01,t-FAPI3,cage_rattle,2646302049,t-FAPI3/CONTCAR,24,0.025861671193214315,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_01
t-FAPI3_cage_rattle_02,t-FAPI3,cage_rattle,2497439315,t-FAPI3/CONTCAR,24,0.03787297149174437,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_02
t-FAPI3_cage_rattle_03,t-FAPI3,cage_rattle,4180180312,t-FAPI3/CONTCAR,24,0.0439934610438584,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_03
t-FAPI3_cage_rattle_04,t-FAPI3,cage_rattle,3254529144,t-FAPI3/CONTCAR,24,0.04116710965915711,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_04
t-FAPI3_cage_rattle_05,t-FAPI3,cage_rattle,1532174073,t-FAPI3/CONTCAR,24,0.04589105796358399,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_05
t-FAPI3_cage_rattle_06,t-FAPI3,cage_rattle,794477069,t-FAPI3/CONTCAR,24,0.02993240971518593,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_06
t-FAPI3_cage_rattle_07,t-FAPI3,cage_rattle,3410854411,t-FAPI3/CONTCAR,24,0.03113170310020281,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_07
t-FAPI3_cage_rattle_08,t-FAPI3,cage_rattle,3404292951,t-FAPI3/CONTCAR,24,0.02974116354218166,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_08
t-FAPI3_cage_rattle_09,t-FAPI3,cage_rattle,1209422841,t-FAPI3/CONTCAR,24,0.0425855109215591,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_09
t-FAPI3_cage_rattle_10,t-FAPI3,cage_rattle,2008487984,t-FAPI3/CONTCAR,24,0.04317497864456732,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_10
t-FAPI3_cage_rattle_11,t-FAPI3,cage_rattle,156576312,t-FAPI3/CONTCAR,24,0.04466359162133633,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_11
t-FAPI3_cage_rattle_12,t-FAPI3,cage_rattle,4205212233,t-FAPI3/CONTCAR,24,0.03640349979213558,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_12
t-FAPI3_cage_rattle_13,t-FAPI3,cage_rattle,2137877002,t-FAPI3/CONTCAR,24,0.03768869005983494,0,1.0184004805038975,t-FAPI3/t-FAPI3_cage_rattle_13
