original_config_id,config_id,old_directory,directory
O-FAPI3_parity_11,O-FAPI3_parity_11__global_rattle__sev-0.1,O-FAPI3/O-FAPI3_parity_11,O-FAPI3/O-FAPI3_parity_11__global_rattle__sev-0.1
O-FAPI3_parity_12,O-FAPI3_parity_12__global_rattle__sev-0.2,O-FAPI3/O-FAPI3_parity_12,O-FAPI3/O-FAPI3_parity_12__global_rattle__sev-0.2
O-FAPI3_parity_13,O-FAPI3_parity_13__global_rattle__sev-0.3,O-FAPI3/O-FAPI3_parity_13,O-FAPI3/O-FAPI3_parity_13__global_rattle__sev-0.3
O-FAPI3_parity_14,O-FAPI3_parity_14__global_rattle__sev-0.4,O-FAPI3/O-FAPI3_parity_14,O-FAPI3/O-FAPI3_parity_14__global_rattle__sev-0.4
O-FAPI3_parity_15,O-FAPI3_parity_15__global_rattle__sev-0.5,O-FAPI3/O-FAPI3_parity_15,O-FAPI3/O-FAPI3_parity_15__global_rattle__sev-0.5
O-FAPI3_parity_16,O-FAPI3_parity_16__global_rattle__sev-0.6,O-FAPI3/O-FAPI3_parity_16,O-FAPI3/O-FAPI3_parity_16__global_rattle__sev-0.6
O-FAPI3_parity_17,O-FAPI3_parity_17__global_rattle__sev-0.7,O-FAPI3/O-FAPI3_parity_17,O-FAPI3/O-FAPI3_parity_17__global_rattle__sev-0.7
O-FAPI3_parity_18,O-FAPI3_parity_18__global_rattle__sev-0.8,O-FAPI3/O-FAPI3_parity_18,O-FAPI3/O-FAPI3_parity_18__global_rattle__sev-0.8
O-FAPI3_parity_19,O-FAPI3_parity_19__global_rattle__sev-0.9,O-FAPI3/O-FAPI3_parity_19,O-FAPI3/O-FAPI3_parity_19__global_rattle__sev-0.9
O-FAPI3_parity_20,O-FAPI3_parity_20__global_rattle__sev-1.0,O-FAPI3/O-FAPI3_parity_20,O-FAPI3/O-FAPI3_parity_20__global_rattle__sev-1.0
O-FAPI3_parity_21,O-FAPI3_parity_21__cage_rattle__sev-0.1,O-FAPI3/O-FAPI3_parity_21,O-FAPI3/O-FAPI3_parity_21__cage_rattle__sev-0.1
O-FAPI3_parity_22,O-FAPI3_parity_22__cage_rattle__sev-0.2,O-FAPI3/O-FAPI3_parity_22,O-FAPI3/O-FAPI3_parity_22__cage_rattle__sev-0.2
O-FAPI3_parity_23,O-FAPI3_parity_23__cage_rattle__sev-0.3,O-FAPI3/O-FAPI3_parity_23,O-FAPI3/O-FAPI3_parity_23__cage_rattle__sev-0.3
O-FAPI3_parity_24,O-FAPI3_parity_24__cage_rattle__sev-0.4,O-FAPI3/O-FAPI3_parity_24,O-FAPI3/O-FAPI3_parity_24__cage_rattle__sev-0.4
O-FAPI3_parity_25,O-FAPI3_parity_25__cage_rattle__sev-0.5,O-FAPI3/O-FAPI3_parity_25,O-FAPI3/O-FAPI3_parity_25__cage_rattle__sev-0.5
O-FAPI3_parity_26,O-FAPI3_parity_26__cage_rattle__sev-0.6,O-FAPI3/O-FAPI3_parity_26,O-FAPI3/O-FAPI3_parity_26__cage_rattle__sev-0.6
O-FAPI3_parity_27,O-FAPI3_parity_27__cage_rattle__sev-0.7,O-FAPI3/O-FAPI3_parity_27,O-FAPI3/O-FAPI3_parity_27__cage_rattle__sev-0.7
O-FAPI3_parity_28,O-FAPI3_parity_28__cage_rattle__sev-0.8,O-FAPI3/O-FAPI3_parity_28,O-FAPI3/O-FAPI3_parity_28__cage_rattle__sev-0.8
