config_id,distortion_label,original_config_id,phase,family,severity,seed,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_parity_20__global_rattle__sev-1.0,global_rattle,O-FAPI3_parity_20,O-FAPI3,global_rattle,1.0,3256580899,48,0.16,0,0.6552184277864768,O-FAPI3/O-FAPI3_parity_20__global_rattle__sev-1.0
O-FAPI3_parity_21__cage_rattle__sev-0.1,cage_rattle,O-FAPI3_parity_21,O-FAPI3,cage_rattle,0.1,1560329700,48,0.074,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_21__cage_rattle__sev-0.1
O-FAPI3_parity_22__cage_rattle__sev-0.2,cage_rattle,O-FAPI3_parity_22,O-FAPI3,cage_rattle,0.2,2069057920,48,0.088,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_22__cage_rattle__sev-0.2
O-FAPI3_parity_23__cage_rattle__sev-0.3,cage_rattle,O-FAPI3_parity_23,O-FAPI3,cage_rattle,0.3,2485477814,48,0.10200000000000001,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_23__cage_rattle__sev-0.3
O-FAPI3_parity_24__cage_rattle__sev-0.4,cage_rattle,O-FAPI3_parity_24,O-FAPI3,cage_rattle,0.4,244203023,48,0.116,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_24__cage_rattle__sev-0.4
O-FAPI3_parity_25__cage_rattle__sev-0.5,cage_rattle,O-FAPI3_parity_25,O-FAPI3,cage_rattle,0.5,574807470,48,0.13,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_25__cage_rattle__sev-0.5
O-FAPI3_parity_26__cage_rattle__sev-0.6,cage_rattle,O-FAPI3_parity_26,O-FAPI3,cage_rattle,0.6,210030372,48,0.14400000000000002,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_26__cage_rattle__sev-0.6
O-FAPI3_parity_27__cage_rattle__sev-0.7,cage_rattle,O-FAPI3_parity_27,O-FAPI3,cage_rattle,0.7,3737742803,48,0.158,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_27__cage_rattle__sev-0.7
O-FAPI3_parity_28__cage_rattle__sev-0.8,cage_rattle,O-FAPI3_parity_28,O-FAPI3,cage_rattle,0.8,3936924065,48,0.17200000000000001,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_28__cage_rattle__sev-0.8
O-FAPI3_parity_29__cage_rattle__sev-0.9,cage_rattle,O-FAPI3_parity_29,O-FAPI3,cage_rattle,0.9,1456796555,48,0.18600000000000003,0,1.0189468527998746,O-FAPI3/O-FAPI3_parity_29__cage_rattle__sev-0.9
