config_id,phase,family,distortion_label,severity,seed,seed_origin,seed_origin_config_id,minimum_distance_A,directory
O-FAPI3_al_global_rattle_28__global_rattle__sev-0.567__seed-parity,O-FAPI3,global_rattle,global_rattle,0.566667,3256580899,parity,O-FAPI3_parity_20__global_rattle__sev-1.0,0.7604765787157066,O-FAPI3/O-FAPI3_al_global_rattle_28__global_rattle__sev-0.567__seed-parity
O-FAPI3_al_global_rattle_29__global_rattle__sev-0.580__seed-new,O-FAPI3,global_rattle,global_rattle,0.58,108919566,new,,0.8095632965626158,O-FAPI3/O-FAPI3_al_global_rattle_29__global_rattle__sev-0.580__seed-new
O-FAPI3_al_global_rattle_30__global_rattle__sev-0.593__seed-new,O-FAPI3,global_rattle,global_rattle,0.593333,1665721743,new,,0.7561618613109428,O-FAPI3/O-FAPI3_al_global_rattle_30__global_rattle__sev-0.593__seed-new
O-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.407__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4075,1899588555,new,,0.8887063002929686,O-FAPI3/O-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.407__seed-new
O-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.422__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4225,1974325161,new,,0.7745054836685251,O-FAPI3/O-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.422__seed-new
O-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.438__seed-parity,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4375,3663235565,parity,O-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2,0.7469893748176493,O-FAPI3/O-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.438__seed-parity
O-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.453__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4525,3854395481,new,,0.8360940328678037,O-FAPI3/O-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.453__seed-new
O-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.468__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4675,2205849989,new,,0.8026702877395635,O-FAPI3/O-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.468__seed-new
O-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.482__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4825,2035766449,new,,0.9087367464851167,O-FAPI3/O-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.482__seed-new
O-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.497__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.4975,2861091372,new,,0.8368170103220377,O-FAPI3/O-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.497__seed-new
O-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.512__seed-parity,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5125,4222874943,parity,O-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4,0.7896145638369485,O-FAPI3/O-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.512__seed-parity
O-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.527__seed-new,O-FAPI3,combined,combined_strain_rattle_fa_rotation,0.5275,1735771584,new,,0.8790428053521913,O-FAPI3/O-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.527__seed-new
